FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Said,Benrahma,MID,WHU,5500000,1,91,2.9,5.27272727272727E-07,1.65454545454545E-05,0,377003,0,29,0,0,0,5,0,16.5,1196,-5,0,91,5,0.4,0,2.4,2,0,5,0,3,1.1,271345,0,-1,0,0,1870,199,0,0,303,Crystal Palace,Man City,Man Utd,Brentford F.C.,Leeds United F.C.,3.2,2.3,1.9,2.8,2.2
Rodrigo,Bentancur,MID,TOT,5300000,0,71,3.9,7.35849056603774E-07,1.33962264150943E-05,0,130160,8,24,0,0,0,5,0,13.4,42,-2,0,71,2,0,0,0,7,0,6,0,2,0.3,105916,0,-1,0,2,1501,3,0,0,342,Liverpool,Crystal Palace,Aston Villa,Brentford F.C.,Leeds United F.C.,0,0,0,0,0
Christian,Benteke,FWD,CRY,5500000,0,0,0,0,0,0,81227,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3358,0,-1,0,0,0,0,0,0,0,West Ham,Tottenham,Bournemouth,Fulham,Nottingham Forest FC,0,0,0,0,0
Daniel,Bentley,GLK,WOL,4000000,0,0,0,0,0,0,1417,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2957,0,-1,0,0,0,43,0,0,0,Brighton,Aston Villa,Man Utd,Everton,Arsenal,0,0,0,0,0
Steven,Bergwijn,MID,TOT,5500000,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Liverpool,Crystal Palace,Aston Villa,Brentford F.C.,Leeds United F.C.,0,0,0,0,0
,Bernardo,MID,MCI,6700000,1,100,3.3,4.92537313432836E-07,1.49253731343284E-05,0,2217800,4,23,0,0,0,4,0,14.9,1390,-3,0,100,3,0.1,0,1,9,0,6,0,6,5.6,1913633,0,-1,0,2,2008,886,0,0,393,Fulham,West Ham,Leeds United F.C.,Everton,Chelsea,5.6,3.3,2.6,5.6,2.4
Ryan,Bertrand,DEF,LEI,3900000,0,0,0,0,0,0,6067,0,0,0,0,0,0,0,0,8,-1,0,0,1,0,0,0,0,0,0,0,0,0,4451,0,-1,0,0,0,7,0,0,0,Everton,Fulham,Liverpool,Newcastle,West Ham,0,0,0,0,0
Marcus,Bettinelli,GLK,CHE,4000000,0,0,0,0,0,0,3532,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4468,0,-1,0,0,0,2,0,0,0,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,0,0,0,0,0
Owen,Bevan,DEF,BOU,4000000,0,1,1,2.5E-07,2.5E-07,0,7090,0,1,0,0,0,0,0,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6869,0,-1,0,0,8,0,0,0,3,Leeds United F.C.,Chelsea,Crystal Palace,Man Utd,Everton,0,0,0,0,0
Giulian,Biancone,DEF,NFO,4200000,0,2,1,2.38095238095238E-07,4.76190476190476E-07,0,7461,0,1,0,0,0,0,0,0.5,0,-3,0,2,3,0,0,0,0,0,0,0,0,0,1829,0,-1,0,0,15,0,0,0,9,Brentford F.C.,Southampton,Chelsea,Arsenal,Crystal Palace,0,0,0,0,0
Mads,Bidstrup,MID,BRE,4500000,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Nottingham Forest FC,Liverpool,West Ham,Tottenham,Man City,0,0,0,0,0
Philip,Billing,MID,BOU,5200000,5,121,3.7,7.11538461538462E-07,2.32692307692308E-05,0,418545,5,49,0,0,0,7,0,23.3,1586,-3,0,121,3,0.7,0,3.9,14,0,9,0,2,1.2,527966,0,-1,0,1,2535,871,0,0,450,Leeds United F.C.,Chelsea,Crystal Palace,Man Utd,Everton,3.8,4,2.8,3.3,3.2
Nathan,Bishop,GLK,MUN,4000000,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,0,-1,0,0,0,7,0,0,0,Aston Villa,Brighton,West Ham,Wolverhampton,Bournemouth,0,0,0,0,0
Yves,Bissouma,MID,TOT,4700000,0,23,1.1,2.34042553191489E-07,4.8936170212766E-06,0,75298,5,15,0,0,0,0,0,4.9,13,-3,0,23,3,0,0,0,0,0,1,0,0,0.2,31522,0,-1,0,0,803,5,0,0,140,Liverpool,Crystal Palace,Aston Villa,Brentford F.C.,Leeds United F.C.,0,0,0,0,0
Lamare,Bogarde,DEF,AVL,4000000,0,0,0,0,0,0,5484,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,-1,0,0,0,0,0,0,0,Man Utd,Wolverhampton,Tottenham,Liverpool,Brighton,0,0,0,0,0
Willy,Boly,DEF,NFO,4100000,0,33,1,2.4390243902439E-07,8.04878048780488E-06,0,44165,2,8,0,0,0,0,0,8,30,-4,0,33,4,0,0,0,7,0,3,0,1,0.1,25626,0,-1,0,1,593,1,0,0,132,Brentford F.C.,Southampton,Chelsea,Arsenal,Crystal Palace,0,0,0,0.7,0.5
Sven,Botman,DEF,NEW,4500000,5,114,3.7,8.22222222222222E-07,2.53333333333333E-05,0,922805,2,24,0,0,0,0,0,25.3,2500,0,0,114,0,0.6,0,2.9,5,0,12,0,2,6.6,1401686,0,-1,0,0,2677,2782,0,0,581,Southampton,Arsenal,Leeds United F.C.,Brighton,Leicester,4.5,4.6,8.1,4.2,3.9
Jarrod,Bowen,MID,WHU,8000000,2,125,3.8,4.75E-07,1.5625E-05,0,1497349,2,47,0,0,0,5,0,15.6,4467,-5,0,125,5,0.5,1,3.9,6,0,8,0,8,3.6,1229906,0,-1,0,2,2946,780,0,0,368,Crystal Palace,Man City,Man Utd,Brentford F.C.,Leeds United F.C.,5.1,3.5,3,4.1,3.3
Jarrad,Branthwaite,DEF,EVE,4000000,0,0,0,0,0,0,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Leicester,Brighton,Man City,Wolverhampton,Bournemouth,0,0,0,0,0
Sammy,Braybrooke,MID,LEI,4500000,0,0,0,0,0,0,1069,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,0,-1,0,0,0,2,0,0,0,Everton,Fulham,Liverpool,Newcastle,West Ham,0,0,0,0,0
James,Bree,DEF,SOU,4500000,0,4,0.121212121212121,2.69360269360269E-08,8.88888888888889E-07,0,963,0,5,0,0,0,0,0,0.9,8,0,0,4,0,0,0,0,0,0,0,0,0,0,1219,0,-1,0,0,200,12,0,0,33,Newcastle,Nottingham Forest FC,Fulham,Brighton,Liverpool,0.1,0.1,0.1,0.1,0.1
Armando,Broja,FWD,CHE,5200000,0,21,1.8,3.46153846153846E-07,4.03846153846154E-06,0,183433,0,5,0,0,0,1,0,4,29,-3,0,21,3,0,0,0,0,0,1,0,1,0.3,75124,0,-1,0,0,285,9,0,0,56,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,0,0,0,0,0
David,Brooks,MID,BOU,5300000,0,2,0.0606060606060606,1.14351057747284E-08,3.77358490566038E-07,0,4689,0,3,0,0,0,0,0,0.4,9,-2,0,2,2,0,0,0.1,0,0,0,0,0,0,1608,0,-1,0,0,29,18,0,0,5,Leeds United F.C.,Chelsea,Crystal Palace,Man Utd,Everton,0,0,0,0,0
,Bruno Guimaraes,MID,NEW,5500000,2,93,3.4,6.18181818181818E-07,1.69090909090909E-05,0,1464364,4,19,0,0,0,3,0,16.9,836,-5,0,93,5,0.6,0,3.1,4,0,11,0,5,2.8,790342,0,-1,0,1,2277,581,0,0,374,Southampton,Arsenal,Leeds United F.C.,Brighton,Leicester,3.4,2.2,5.3,3.2,2.9
Lewis,Brunt,DEF,LEI,3900000,0,1,0.0303030303030303,7.77000777000777E-09,2.56410256410256E-07,0,38699,0,1,0,0,0,0,0,0.3,33,-1,0,1,1,0,0,0,0,0,0,0,0,0.3,29394,0,-1,0,0,22,41,0,0,4,Everton,Fulham,Liverpool,Newcastle,West Ham,0,0,0,0,0
,Bryan,MID,TOT,5000000,0,9,2.2,4.4E-07,1.8E-06,0,9854,1,1,0,0,0,0,0,1.8,4,0,0,9,0,0,0,0,0,0,1,0,1,0,8025,0,-1,0,0,146,0,0,0,22,Liverpool,Crystal Palace,Aston Villa,Brentford F.C.,Leeds United F.C.,0,0,0,0,0
Joe,Bryan,DEF,FUL,4400000,0,0,0,0,0,0,2851,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,485,0,-1,0,0,0,0,0,0,0,Man City,Liverpool,Leicester,Southampton,Crystal Palace,0,0,0,0,0
,Buendia,MID,AVL,5700000,2,110,3.2,5.6140350877193E-07,1.92982456140351E-05,0,226917,0,32,0,0,0,5,0,19.3,926,-3,0,110,3,0.6,0,3.6,8,0,10,0,3,0.9,258765,0,-1,0,0,2211,669,0,0,346,Man Utd,Wolverhampton,Tottenham,Liverpool,Brighton,1.7,2.1,3.3,1.8,2.6
,Bueno,DEF,WOL,3800000,-1,40,1.21212121212121,3.18979266347687E-07,1.05263157894737E-05,0,908564,1,25,0,0,0,0,0,10.5,990,-2,0,40,2,0.3,0,1.3,3,0,3,0,1,3.2,1155777,0,-1,0,0,1234,3533,0,0,232,Brighton,Aston Villa,Man Utd,Everton,Arsenal,0.6,1,0.9,1.4,0.7
Facundo,Buonanotte,MID,BHA,4500000,1,17,0.566666666666667,1.25925925925926E-07,3.77777777777778E-06,0,1389,0,3,0,0,0,1,0,3.8,81,0,0,17,0,0.4,0,1.6,2,0,0,0,1,0,4870,0,-1,0,0,174,47,0,0,55,Wolverhampton,Man Utd,Everton,Arsenal,Newcastle,0.6,0.3,0.6,0.6,0.3
Dan,Burn,DEF,NEW,4500000,2,111,3.4,7.55555555555556E-07,2.46666666666667E-05,0,575574,4,25,0,0,0,0,0,24.7,2810,0,0,111,0,0.5,0,2.3,4,0,13,0,0,4.3,907450,0,-1,0,1,2743,1056,0,0,516,Southampton,Arsenal,Leeds United F.C.,Brighton,Leicester,4,4.1,7.1,3.7,3.4
Jack,Butland,GLK,MUN,4400000,0,0,0,0,0,0,10709,0,0,0,0,0,0,0,0,12,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,4358,0,-1,0,0,0,11,0,0,0,Aston Villa,Brighton,West Ham,Wolverhampton,Bournemouth,0,0,0,0,0
Nathan,Butler-Oyedeji,FWD,ARS,4500000,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,-1,0,0,0,0,0,0,0,Chelsea,Newcastle,Brighton,Nottingham Forest FC,Wolverhampton,0,0,0,0,0
,C.Doucoure,MID,CRY,5000000,2,65,2.2,4.4E-07,1.3E-05,0,28476,8,37,0,0,0,0,0,13,25,0,0,65,0,0.5,0,2.5,3,0,6,0,3,0.1,22083,0,-1,0,0,2443,18,0,1,358,West Ham,Tottenham,Bournemouth,Fulham,Nottingham Forest FC,1.7,1.4,1.6,1.2,2.3
,C.Robinson,DEF,FUL,4000000,0,0,0,0,0,0,842,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,-1,0,0,0,59,0,0,0,Man City,Liverpool,Leicester,Southampton,Crystal Palace,0,0,0,0,0
Willy,Caballero,GLK,SOU,3800000,0,0,0,0,0,0,74846,0,0,0,0,0,0,0,0,56,-2,1,0,2,0,0,0,0,0,0,0,0,0.7,35199,0,-1,0,0,0,335,-1,0,0,Newcastle,Nottingham Forest FC,Fulham,Brighton,Liverpool,0,0,0,0,0
,Cafu,MID,NFO,4200000,0,1,0.0303030303030303,7.21500721500722E-09,2.38095238095238E-07,0,92556,0,0,0,0,0,0,0,0.2,42,-3,0,1,3,0,0,0,0,0,0,0,0,0.3,67299,0,-1,0,0,6,15,0,0,3,Brentford F.C.,Southampton,Chelsea,Arsenal,Crystal Palace,0,0,0,0,0
,Caicedo,MID,BHA,5000000,1,66,2.2,4.4E-07,1.32E-05,0,75399,8,36,0,0,0,1,0,13.2,176,0,0,66,0,0.3,0,1.7,0,0,8,0,1,0.3,85733,0,-1,0,0,2553,262,0,0,419,Wolverhampton,Man Utd,Everton,Arsenal,Newcastle,3.2,1.9,2.2,2.9,1.2
Tom,Cairney,MID,FUL,4700000,1,30,0.9375,1.99468085106383E-07,6.38297872340426E-06,0,9684,2,7,0,0,0,0,0,6.4,6,-3,0,30,3,0.1,0,0.7,0,0,0,0,1,0,4624,0,-1,0,0,590,9,0,0,128,Man City,Liverpool,Leicester,Southampton,Crystal Palace,1,0.5,0.5,0.5,0.5
Duje,Caleta-Car,DEF,SOU,4400000,0,28,0.848484848484849,1.92837465564738E-07,6.36363636363636E-06,0,4785,2,15,0,0,0,1,0,6.4,30,-1,0,28,1,0.3,0,1.5,2,0,1,0,0,0,5448,0,-1,0,0,942,25,0,0,182,Newcastle,Nottingham Forest FC,Fulham,Brighton,Liverpool,0.4,0.4,0.4,0.4,0.4
Dominic,Calvert-Lewin,FWD,EVE,7900000,0,28,2.2,2.78481012658228E-07,3.54430379746835E-06,0,192130,2,16,0,0,0,1,0,3.5,54,-1,0,28,1,0.1,0,0.5,2,0,4,0,0,0.3,161566,0,-1,0,0,900,59,0,0,46,Leicester,Brighton,Man City,Wolverhampton,Bournemouth,1.8,1.4,2,1.3,2.2
Chem,Campbell,MID,WOL,4400000,0,5,1,2.27272727272727E-07,1.13636363636364E-06,0,62649,0,2,0,0,0,0,0,1.1,27,-1,0,5,1,0,0,0,0,0,0,0,0,0.3,63904,0,-1,0,0,68,0,0,0,9,Brighton,Aston Villa,Man Utd,Everton,Arsenal,0,0,0,0,0
Joao,Cancelo,DEF,MCI,7100000,0,73,4.3,6.05633802816901E-07,1.02816901408451E-05,0,6533605,3,16,0,0,0,2,0,10.3,2699,1,0,73,-1,0,0,0,10,0,6,0,2,18.1,3729404,0,-1,0,4,1273,0,0,1,304,Fulham,West Ham,Leeds United F.C.,Everton,Chelsea,0,0,0,0,0
Thomas,Cannon,FWD,EVE,4500000,0,2,1,2.22222222222222E-07,4.44444444444444E-07,0,5633,0,1,0,0,0,0,0,0.4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,5956,0,-1,0,0,23,0,0,0,7,Leicester,Brighton,Man City,Wolverhampton,Bournemouth,0,0,0,0,0
,Canos,DEF,BRE,5000000,0,5,1,2E-07,1E-06,0,32960,0,2,0,0,0,0,0,1,16,0,0,5,0,0,0,0,0,0,0,0,0,0.1,35030,0,-1,0,0,73,0,0,0,14,Nottingham Forest FC,Liverpool,West Ham,Tottenham,Man City,0,0,0,0,0
Scott,Carson,GLK,MCI,3800000,0,0,0,0,0,0,68333,0,0,0,0,0,0,0,0,151,-2,0,0,2,0,0,0,0,0,0,0,0,0.4,87546,0,-1,0,1,0,47,0,0,0,Fulham,West Ham,Leeds United F.C.,Everton,Chelsea,0,0,0,0,0
,Carvalho,MID,LIV,5100000,0,26,0.8125,1.59313725490196E-07,5.09803921568627E-06,0,136327,0,3,0,0,0,2,0,5.1,29,-4,0,26,4,0,0,0,0,0,0,0,1,0.3,122078,0,-1,0,0,333,7,0,0,79,Tottenham,Fulham,Brentford F.C.,Leicester,Aston Villa,0.8,0.4,0.4,0.4,0.4
,Casemiro,MID,MUN,4900000,3,64,2.9,5.91836734693878E-07,1.30612244897959E-05,0,597858,5,18,0,0,0,2,0,13.1,548,-1,0,64,1,0.2,0,1.1,9,0,8,0,3,1.9,703324,0,-1,0,2,1606,682,0,2,279,Aston Villa,Brighton,West Ham,Wolverhampton,Bournemouth,4.3,1.7,3,4.9,2.3
Kaelan,Casey,DEF,WHU,4000000,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2205,0,-1,0,0,0,20,0,0,0,Crystal Palace,Man City,Man Utd,Brentford F.C.,Leeds United F.C.,0,0,0,0,0
Matty,Cash,DEF,AVL,4600000,0,53,2.3,5E-07,1.15217391304348E-05,0,1777626,3,27,0,0,0,0,0,11.5,900,-4,0,53,4,0,0,0,3,0,4,0,2,3.1,397903,0,-1,0,1,1636,10,0,0,295,Man Utd,Wolverhampton,Tottenham,Liverpool,Brighton,0,2.5,1.9,1.3,2.1
Timothy,Castagne,DEF,LEI,4300000,0,104,3.2,7.44186046511628E-07,2.41860465116279E-05,0,1571260,3,52,0,0,0,2,0,24.2,2098,-2,0,104,2,0.7,0,3,11,0,7,0,4,6,2063982,0,-1,0,2,2805,1724,0,0,549,Everton,Fulham,Liverpool,Newcastle,West Ham,4.5,3.8,3.4,3,3.4
,Cavaleiro,MID,FUL,4800000,0,0,0,0,0,0,8995,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0,2084,0,-1,0,0,0,0,0,0,0,Man City,Liverpool,Leicester,Southampton,Crystal Palace,0,0,0,0,0
,Cedric,DEF,FUL,4200000,0,8,0.25,5.95238095238095E-08,1.9047619047619E-06,0,29319,0,2,0,0,0,0,0,1.9,20,-3,0,8,3,0.1,0,0.6,0,0,0,0,0,0.1,9499,0,-1,0,0,133,21,0,0,39,Man City,Liverpool,Leicester,Southampton,Crystal Palace,0.2,0.1,0.1,0.1,0.1
Nathaniel,Chalobah,MID,FUL,4400000,0,1,0.2,4.54545454545455E-08,2.27272727272727E-07,0,20552,0,4,0,0,0,0,0,0.2,11,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,11139,0,-1,0,0,11,0,0,1,2,Man City,Liverpool,Leicester,Southampton,Crystal Palace,0,0,0,0,0
Trevoh,Chalobah,DEF,CHE,4400000,0,41,1.28125,2.91193181818182E-07,9.31818181818182E-06,0,179058,4,15,0,0,0,0,0,9.3,94,-6,0,41,6,0.1,0,0.3,0,0,5,0,0,0.4,151948,1,-1,0,0,1192,136,0,0,240,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,0.9,0.7,0.8,1.7,0.8
,Chamberlain,MID,LIV,4900000,0,20,0.625,1.27551020408163E-07,4.08163265306122E-06,0,5307,0,7,0,0,0,1,0,4.1,4,-1,0,20,1,0,0,0.1,2,0,0,0,0,0,4875,0,-1,0,0,332,3,0,0,57,Tottenham,Fulham,Brentford F.C.,Leicester,Aston Villa,0.6,0.3,0.3,0.3,0.3
Calum,Chambers,DEF,AVL,4200000,1,13,0.393939393939394,9.37950937950938E-08,3.0952380952381E-06,0,26913,2,4,0,0,0,0,0,3.1,23,-3,0,13,3,0.2,0,0.7,0,0,0,0,0,0.2,10756,0,-1,0,0,345,32,0,0,67,Man Utd,Wolverhampton,Tottenham,Liverpool,Brighton,0.2,0.2,0.2,0.2,0.2
Luke,Chambers,DEF,LIV,4000000,0,0,0,0,0,0,9648,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7417,0,-1,0,0,0,0,0,0,0,Tottenham,Fulham,Brentford F.C.,Leicester,Aston Villa,0,0,0,0,0
Jeremiah,Chilokoa-Mullen,DEF,LEE,4000000,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,774,0,-1,0,0,0,33,0,0,0,Bournemouth,Man City,Newcastle,West Ham,Tottenham,0,0,0,0,0
Ben,Chilwell,DEF,CHE,5700000,0,67,2.09375,3.67324561403509E-07,1.17543859649123E-05,0,1704171,3,15,0,0,0,2,0,11.8,3666,-3,0,67,3,0.3,0,1.8,4,0,4,0,3,4.8,1776973,0,-1,0,1,1238,1620,0,0,285,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,1.9,1.6,1.9,3.3,1.8
,Chiquinho,MID,WOL,5000000,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,0,-1,0,0,0,2,0,0,0,Brighton,Aston Villa,Man Utd,Everton,Arsenal,0,0,0,0,0
Hamza,Choudhury,MID,LEI,4500000,0,0,0,0,0,0,16169,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,0,-1,0,0,0,0,0,0,0,Everton,Fulham,Liverpool,Newcastle,West Ham,0,0,0,0,0
Ryan,Christie,MID,BOU,5300000,2,54,1.63636363636364,3.08747855917667E-07,1.0188679245283E-05,0,11710,2,29,0,0,0,1,0,10.2,38,-2,0,54,2,0.4,0,2.3,2,0,3,0,1,0.1,7592,0,-1,0,0,1554,17,0,0,189,Leeds United F.C.,Chelsea,Crystal Palace,Man Utd,Everton,1.1,1.1,0.8,0.8,0.8
Carney,Chukwuemeka,MID,CHE,4200000,0,14,0.4375,1.04166666666667E-07,3.33333333333333E-06,0,112630,0,3,0,0,0,0,0,3.3,42,-3,0,14,3,0,0,0,0,0,1,0,0,0.3,74262,0,-1,0,1,222,35,0,0,47,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,0.2,0.2,0.2,0.4,0.2
Bobby,Clark,MID,LIV,4500000,0,1,0.03125,6.94444444444444E-09,2.22222222222222E-07,0,1474,0,0,0,0,0,0,0,0.2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1440,0,-1,0,0,7,3,0,0,1,Tottenham,Fulham,Brentford F.C.,Leicester,Aston Villa,0,0,0,0,0
Ciaran,Clark,DEF,NEW,4500000,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Southampton,Arsenal,Leeds United F.C.,Brighton,Leicester,0,0,0,0,0
Matt,Clarke,DEF,BHA,4000000,0,0,0,0,0,0,25961,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,10007,0,-1,0,0,0,0,0,0,0,Wolverhampton,Man Utd,Everton,Arsenal,Newcastle,0,0,0,0,0
Nathaniel,Clyne,DEF,CRY,4500000,0,44,1.33333333333333,2.96296296296296E-07,9.77777777777778E-06,0,31371,3,23,0,0,0,0,0,9.8,48,0,0,44,0,0,0,0.2,0,0,3,0,0,0.1,22606,0,-1,0,0,1638,3,0,0,246,West Ham,Tottenham,Bournemouth,Fulham,Nottingham Forest FC,0,0,0.9,0.9,0.9
Conor,Coady,DEF,EVE,4700000,0,70,3.2,6.80851063829787E-07,1.48936170212766E-05,0,1088924,2,28,0,0,0,1,0,14.9,828,-3,0,70,3,0,0,0,5,0,6,0,1,3.2,966883,0,-1,0,1,1970,73,0,0,370,Leicester,Brighton,Man City,Wolverhampton,Bournemouth,2.9,2.7,2.8,3.6,3.8
Jack,Colback,MID,NFO,4100000,0,14,0.424242424242424,1.03473762010347E-07,3.41463414634146E-06,0,297385,0,11,0,0,0,0,0,3.4,334,-4,0,14,4,0,0,0,0,0,0,0,0,0.7,210646,0,-1,0,1,492,120,0,0,73,Brentford F.C.,Southampton,Chelsea,Arsenal,Crystal Palace,0,0,0,0.2,0.2
Seamus,Coleman,DEF,EVE,4200000,0,63,2.9,6.9047619047619E-07,1.5E-05,0,166779,1,23,0,0,0,1,0,15,322,-3,0,63,3,0.1,0,0.5,5,0,5,0,0,0.4,194652,0,-1,0,1,1609,14,0,0,306,Leicester,Brighton,Man City,Wolverhampton,Bournemouth,0,2.3,2.4,3.3,3.3
Nathan,Collins,DEF,WOL,4300000,0,46,2,4.65116279069767E-07,1.06976744186047E-05,0,195597,2,31,0,0,0,0,0,10.7,74,-2,0,46,2,0.1,0,0.3,6,0,4,0,0,0.5,187119,0,-1,0,1,1624,17,0,1,299,Brighton,Aston Villa,Man Utd,Everton,Arsenal,1.2,2.1,1.9,2.8,1.6
Levi,Colwill,DEF,BHA,4400000,0,26,0.866666666666667,1.96969696969697E-07,5.90909090909091E-06,0,22142,0,15,0,0,0,0,0,5.9,60,-1,0,26,1,0.1,0,0.6,3,0,2,0,0,0.1,22849,0,-1,0,0,800,114,0,0,151,Wolverhampton,Man Utd,Everton,Arsenal,Newcastle,1.6,0.8,0.8,0.8,0.4
Lewis,Cook,MID,BOU,4900000,1,48,1.9,3.87755102040816E-07,9.79591836734694E-06,0,14618,3,36,0,0,0,0,0,9.8,5,-1,0,48,1,0.1,0,0.4,1,0,3,0,2,0.1,11353,0,-1,0,0,1582,3,0,0,268,Leeds United F.C.,Chelsea,Crystal Palace,Man Utd,Everton,1.3,1.4,1,1.1,1.1
Steve,Cook,DEF,NFO,4300000,0,20,0.606060606060606,1.40944326990839E-07,4.65116279069767E-06,0,23576,4,21,0,0,0,0,0,4.7,11,-2,0,20,2,0,0,0,0,0,2,0,0,0.1,12528,0,-1,0,0,956,12,0,0,149,Brentford F.C.,Southampton,Chelsea,Arsenal,Crystal Palace,0.3,0.3,0.3,0.3,0.3
Liam,Cooper,DEF,LEE,4400000,0,32,0.96969696969697,2.20385674931129E-07,7.27272727272727E-06,0,16655,4,28,0,0,0,1,0,7.3,27,-1,0,32,1,0.1,0,0.3,1,0,2,0,0,0.1,14115,0,-1,0,0,1335,22,0,0,226,Bournemouth,Man City,Newcastle,West Ham,Tottenham,0,0.5,0.6,0.5,0.5
Maxwel,Cornet,MID,WHU,5900000,1,12,0.375,6.35593220338983E-08,2.03389830508475E-06,0,23967,0,3,0,0,0,0,0,2,35,-1,0,12,1,0.1,0,0.8,0,0,0,0,0,0.1,22266,0,-1,0,0,155,21,0,0,22,Crystal Palace,Man City,Man Utd,Brentford F.C.,Leeds United F.C.,0.4,0.2,0.2,0.2,0.2
Vladimir,Coufal,DEF,WHU,4000000,-1,53,2.2,5.5E-07,1.325E-05,0,311328,5,31,0,0,0,0,0,13.2,801,-5,0,53,5,0.6,0,2.2,2,0,4,0,2,1.3,355451,0,-1,0,1,1894,1572,0,0,286,Crystal Palace,Man City,Man Utd,Brentford F.C.,Leeds United F.C.,3.3,3.1,1.1,2.3,1.7
,Coutinho,MID,AVL,6600000,0,32,0.96969696969697,1.4692378328742E-07,4.84848484848485E-06,0,1481888,3,9,0,0,0,1,0,4.8,204,-4,0,32,4,0,0,0,1,0,3,0,0,2.9,233541,0,-1,0,0,777,11,0,0,98,Man Utd,Wolverhampton,Tottenham,Liverpool,Brighton,0,0.5,0.5,0.5,0.5
Conor,Coventry,MID,WHU,4400000,0,1,1,2.27272727272727E-07,2.27272727272727E-07,0,16941,0,0,0,0,0,0,0,0.2,9,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,10100,0,-1,0,0,1,0,0,0,3,Crystal Palace,Man City,Man Utd,Brentford F.C.,Leeds United F.C.,0,0,0,0,0
Matthew,Cox,GLK,BRE,3900000,0,0,0,0,0,0,7201,0,0,0,0,0,0,0,0,15,-1,0,0,1,0,0,0,0,0,0,0,0,0,9812,0,-1,0,0,0,11,0,0,0,Nottingham Forest FC,Liverpool,West Ham,Tottenham,Man City,0,0,0,0,0
